AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,Updated,WaterTenders
1806,FALSE,Ventura County Fire Department,,2019,TRUE,/incidents/2019/10/30/easy-fire/,"Evacuation Information: <a href= ""https://twitter.com/VCFD_PIO"">https://twitter.com/VCFD_PIO</a>",,Ventura,56,,,,2019-11-02T18:57:00Z,,TRUE,TRUE,,,,34.282179,"West Easy Street and West Los Angeles Avenue, Simi Valley",-118.803389,FALSE,Easy Fire,100,,TRUE,"The Easy Fire started October 30, 2019 off West Easy Street and West Los Angeles Avenue, Simi Valley in Ventura County",,2019-10-30T07:45:14Z,Finalized,,,,,,,
1300,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,,2019,TRUE,/incidents/2019/8/16/gaines-fire/,,,Mariposa,22,,,,,,TRUE,TRUE,,,,37.536069,"Mt Gaines Rd and Bear Valley Rd, Bear Valley",-120.177018,FALSE,Gaines Fire,100,,TRUE,"The Gaines Fire started on August 16, 2019 off Mt Gaines Rd and Bear Valley Rd, in Bear Valley in Mariposa County.",,2019-08-16T14:11:02Z,Finalized,,,,,,,
1011,FALSE,"Unified Command: CAL FIRE/Riverside County Fire Department, City of Calimesa and City of Yucaipa",,2019,TRUE,/incidents/2019/10/10/sandalwood-fire/,"For evacuation and road closure information
<a href=""http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4517""> click here</a>",,Riverside,33,10,,17,,2,TRUE,TRUE,,1,,33.9925,Calimesa Boulevard and Sandalwood Drive,-117.059167,TRUE,Sandalwood Fire,100,247,TRUE,"The Sandalwood Fire started October 10, 2019 off Calimesa Boulevard and Sandalwood Drive in Riverside County.",,2019-10-10T15:38:44Z,Finalized,16,74,,,,,
605,FALSE,CAL FIRE Tehama-Glenn Unit,,2019,TRUE,/incidents/2019/10/27/rawson-fire/,,,Tehama,52,,,,2019-10-28T07:22:00Z,,TRUE,TRUE,,,,40.00171,"Gyle Road and Long Dirt Road, Northwest of Corning",-122.25421,FALSE,Rawson Fire,100,,TRUE,"The Rawson Fire started October 27, 2019 off Gyle Road and Long Dirt Road, Northwest of Corning in Tehama County.",,2019-10-27T02:47:20Z,Finalized,,,,,,,
494,FALSE,CAL FIRE Riverside County Fire Department ,,2019,TRUE,/incidents/2019/10/30/hill-fire/,"Mandatory evacuations and road closures are in place:
 <a href=""http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523""> http://www.rvcfire.org/_Layouts/Incident%20Information/IncidentInfoDetail.aspx?4523</a>",,Riverside,33,5,2,14,2019-11-02T18:44:00Z,,TRUE,TRUE,,,,34.01778,"Granite Hill and Pyrite Street, in Jurupa Valley ",-117.4625,TRUE,Hill Fire ,100,126,TRUE,"Hill Fire started on October 30, 2019 off of Granite Hill and Pyrite Street, in Jurupa Valley in Riverside County.",,2019-10-30T11:19:00Z,Finalized,,,,,,,
355,FALSE,CAL FIRE Nevada-Yuba-Placer Unit,,2019,TRUE,/incidents/2019/11/25/foothills-fire/,,,Placer,31,,,,,,TRUE,TRUE,,,,38.838992,"Foothills and McAnally Drive, northwest of Roseville",-121.325842,FALSE,Foothills Fire,100,,TRUE,"The Foothill Fire started November 25, 2019 off Foothills and McAnally Dr., northwest of Roseville in Placer county.",,2019-11-25T12:39:44Z,Finalized,,,,,,,
289,FALSE,CAL FIRE San Benito-Monterey Unit and CAL FIRE San Luis Obispo Unit,,2019,TRUE,/incidents/2019/10/9/cross-fire/,,,Monterey,"27,40",,,,2019-10-11T07:30:00Z,,TRUE,TRUE,,,,35.79069,Indian Valley Road and Monterey County Line near Camp Robert's,-120.73102,FALSE,Cross Fire,100,,TRUE,"The Cross Fire started October 8, 2019 off Indian Valley Road and Monterey County Line near Camp Robert's in Monterey and San Luis Obispo Counties.",,2019-10-09T06:52:14Z,Finalized,,,,,,,
289,FALSE,CAL FIRE San Benito-Monterey Unit and CAL FIRE San Luis Obispo Unit,,2019,TRUE,/incidents/2019/10/9/cross-fire/,,,San Luis Obispo,"27,40",,,,2019-10-11T07:30:00Z,,TRUE,TRUE,,,,35.79069,Indian Valley Road and Monterey County Line near Camp Robert's,-120.73102,FALSE,Cross Fire,100,,TRUE,"The Cross Fire started October 8, 2019 off Indian Valley Road and Monterey County Line near Camp Robert's in Monterey and San Luis Obispo Counties.",,2019-10-09T06:52:14Z,Finalized,,,,,,,
149,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,,2019,TRUE,/incidents/2019/7/21/valley-fire/,,,Mariposa,22,,,,,,TRUE,TRUE,,,,37.241427," Old Hwy and Guadalupe, East of Mariposa",-120.027731,FALSE,Valley Fire,100,,TRUE,"The Valley Fire started July 21, 2019 off Old Hwy and Guadalupe, East of Mariposa in Mariposa County.",,2019-07-21T12:01:40Z,Finalized,,,,,,,
137,FALSE,CAL FIRE Fresno-Kings Unit,,2019,TRUE,/incidents/2019/10/18/mud-fire/,,,Fresno,10,,,,2019-10-19T15:00:00Z,,TRUE,TRUE,,,,36.319291,"Los Gatos Creek Road and Joaquin Rocks Lookout Road, east of Coalinga",-120.460189,FALSE,Mud Fire ,100,,TRUE,"The Mud Fire started October 18, 2019 off Los Gatos Creek Road and Joaquin Rocks Lookout Road, east of Coalinga in Fresno County.",,2019-10-18T12:17:32Z,Finalized,,,,,,,
107,FALSE,Lassen National Forest,,2019,TRUE,/incidents/2019/8/7/3-2-willow-previously-h-1-fire/,,,Lassen,18,,,,,,TRUE,TRUE,,,,40.900458,"Pittville Road and Sheep Flat Road, southeast of Fall River Mills",-121.320838,FALSE,3-2 Willow (Previously H-1 Fire),100,,TRUE,"The H-1 fire started on August 8, 2019 at Pittville Road and Sheep Flat Road, southeast of Fall River Mills in Lassen County.",,2019-08-07T18:48:57Z,Finalized,,,,,,,
75,FALSE,CAL FIRE/Riverside County Fire Department,,2019,TRUE,/incidents/2019/10/10/wolf-fire/,,,Riverside,33,,,,2019-10-12T17:22:00Z,,TRUE,TRUE,,,,33.8615,"Wolfskill Truck Road near Silver Creek Drive, south of Banning",-116.897333,FALSE,Wolf Fire,100,,TRUE,"The Wolf Fire started October 10, 2019 off Wolfskill Truck Road near Silver Creek Drive, south of Banning in Riverside County.",,2019-10-10T18:36:46Z,Finalized,,,,,,,
40,FALSE,City of Moraga,,2019,FALSE,/incidents/2019/10/10/merrill-fire/,,,Contra Costa,7,,,,2019-10-10T12:00:00Z,,TRUE,TRUE,,,,37.828267,"Merrill Circle N and Merrill Dr, Moraga",-122.103867,FALSE,Merrill Fire,100,,TRUE,"The Merrill Fire started October 10, 2019 off Merrill Circle N and Merrill Dr, Moraga in Contra Costa county.",,2019-10-10T06:42:19Z,Finalized,,,,,,,
